job_id,skill_match,role_relevance,domain_relevance,match_score,recommendation,matched_skills,missing_skills,match_reason,title,company,location,state,job_type,posted_date,salary,source,source_url
12462-1617914-1-S,100.0,50.0,14,71.4,Good Match,C#; Machine Learning; Python,,You match most of the required technical skills. The job title is not directly aligned with your target role. Matched skills: C#; Machine Learning; Python.,Werkstudent Automatisierung und KI im Entwicklungsprozess (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-08-13,KEINE_ANGABEN,Bundesagentur für Arbeit,
13011-44395426-821-S,66.67,85.0,38,71.14,Good Match,Data Analytics; Power BI; SQL,Excel,"You have several relevant technical skills, but there are gaps. The job title is strongly related to Data Analytics. Matched skills: Data Analytics; Power BI; SQL. Skills to improve: Excel.",Werkstudent Data Analytics & Reporting (m/w/d) Forschung & Entwicklung,Dr. August Oetker NM KG,Bielefeld,NORDRHEIN_WESTFALEN,PRAKTIKUM_TRAINEE,2026-08-22,KEINE_ANGABEN,Bundesagentur für Arbeit,
19446-r18734-S,100.0,50.0,8,70.8,Good Match,Power BI; Python,,You match most of the required technical skills. The job title is not directly aligned with your target role. Matched skills: Power BI; Python.,Werkstudent (m/w/d) Transformation & Logistikoptimierung,CURRENTA GmbH & Co. OHG,Leverkusen,NORDRHEIN_WESTFALEN,PRAKTIKUM_TRAINEE,2026-08-24,JAHRESGEHALT,Bundesagentur für Arbeit,
12462-1572902-1-S,100.0,50.0,8,70.8,Good Match,Data Analytics; Data Science; Python; SQL,,You match most of the required technical skills. The job title is not directly aligned with your target role. Matched skills: Data Analytics; Data Science; Python; SQL.,Werkstudent IoT-Engineer Batteriezellfertigung (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-05-11,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1003676925-S,100.0,50.0,8,70.8,Good Match,Python; SQL,,You match most of the required technical skills. The job title is not directly aligned with your target role. Matched skills: Python; SQL.,Werkstudent (m/w/d) – Finance Process Automatisation bis zu 20 Stunden/Woche,ecotel communication ag,Düsseldorf,NORDRHEIN_WESTFALEN,PRAKTIKUM_TRAINEE,2026-09-09,JAHRESGEHALT,Bundesagentur für Arbeit,
12462-1574143-1-S,60.0,95.0,26,70.6,Good Match,Data Science; Pandas; Python; SQL,Big Data; Data Engineering; PySpark,"You have several relevant technical skills, but there are gaps. The job title is directly aligned with Data Science. Matched skills: Data Science; Pandas; Python; SQL. Skills to improve: Big Data; Data Engineering; PySpark.",Werkstudent Data Science und KI Tool Entwicklung (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-05-18,KEINE_ANGABEN,Bundesagentur für Arbeit,
12465-1580221-2-S,100.0,50.0,4,70.4,Good Match,C#; Data Analytics; Data Science; Git; SQL,,You match most of the required technical skills. The job title is not directly aligned with your target role. Matched skills: C#; Data Analytics; Data Science; Git; SQL.,Werkstudent*in (w/m/d) Datenmanagement im Informatik-Umfeld,Siemens AG,"Forchheim, Oberfranken",BAYERN,PRAKTIKUM_TRAINEE,2026-07-24,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1003516883-S,100.0,50.0,4,70.4,Good Match,Python,,You match most of the required technical skills. The job title is not directly aligned with your target role. Matched skills: Python.,Werkstudent (m/w/d) KI & Innovation,SIG Sales GmbH & Co. KG,Ettlingen,BADEN_WUERTTEMBERG,PRAKTIKUM_TRAINEE,2026-08-10,KEINE_ANGABEN,Bundesagentur für Arbeit,
12465-1609186-1-S,100.0,50.0,0,70.0,Good Match,C#; Data Science,,You match most of the required technical skills. The job title is not directly aligned with your target role. Matched skills: C#; Data Science.,Werkstudent (w/m/d) Electrical CAD Tool Administration,Siemens AG,Erlangen,BAYERN,PRAKTIKUM_TRAINEE,2026-08-10,KEINE_ANGABEN,Bundesagentur für Arbeit,
15794-471478_50313-1-S,60.0,85.0,56,69.6,Possible Match,Data Analytics; Power BI; Python; SQL,Artificial Intelligence; Cloud; R; Tableau,"You have several relevant technical skills, but there are gaps. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Data Analytics; Power BI; Python; SQL. Skills to improve: Artificial Intelligence; Cloud; R; Tableau.",Praktikant / Werkstudent Data Analytics - Innovation & Transformation (m/w/d),Deloitte GmbH,Düsseldorf,NORDRHEIN_WESTFALEN,PRAKTIKUM_TRAINEE,2026-08-03,KEINE_ANGABEN,Bundesagentur für Arbeit,
14244-BB-440097-7878-8419-S,50.0,95.0,54,68.4,Possible Match,Data Science; Python,Cloud; Data Engineering,"You have several relevant technical skills, but there are gaps. The job title is directly aligned with Data Science. The job contains some Data/AI/ML elements. Matched skills: Data Science; Python. Skills to improve: Cloud; Data Engineering.",Werkstudent Data Engineering & Data Science (m/w/d),ARAG Krankenversicherungs-AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-08-21,STUNDENLOHN,Bundesagentur für Arbeit,
10001-1003090842-S,50.0,92.0,44,66.2,Possible Match,Machine Learning; Python,Artificial Intelligence; Embeddings; RAG,"You have several relevant technical skills, but there are gaps. The job title is strongly related to AI or Machine Learning. The job contains some Data/AI/ML elements. Matched skills: Machine Learning; Python. Skills to improve: Artificial Intelligence; Embeddings; RAG.",Werkstudent AI Engineer (m/w/d),SmartTECS Cyber Security GmbH,"Chemnitz, Sachsen",SACHSEN,PRAKTIKUM_TRAINEE,2026-05-19,KEINE_ANGABEN,Bundesagentur für Arbeit,
12951-5647624e-84d5-4364--S,50.0,95.0,16,64.6,Possible Match,Data Science; Power BI; Python; SQL,Excel; Plotly; Tableau,"You have several relevant technical skills, but there are gaps. The job title is directly aligned with Data Science. Matched skills: Data Science; Power BI; Python; SQL. Skills to improve: Excel; Plotly; Tableau.",Werkstudent Data Science / Digital Maintenance Solutions (all genders),MTU Maintenance Hannover GmbH,"Langenhagen, Han",NIEDERSACHSEN,PRAKTIKUM_TRAINEE,2026-06-11,KEINE_ANGABEN,Bundesagentur für Arbeit,
15023-000753018f6001-S,80.0,50.0,32,63.2,Possible Match,Data Science; Machine Learning; Power BI; Python; SQL,Artificial Intelligence; Cloud; Excel,You have a strong portion of the required technical skills. The job title is not directly aligned with your target role. Matched skills: Data Science; Machine Learning; Power BI; Python; SQL. Skills to improve: Artificial Intelligence; Cloud; Excel.,Werkstudent*in Data Management & Market Intelligence,HPC Hamburg Port Consulting GmbH,Hamburg,HAMBURG,PRAKTIKUM_TRAINEE,2026-09-09,STUNDENLOHN,Bundesagentur für Arbeit,
10001-1003610115-S,50.0,85.0,42,63.2,Possible Match,Data Analytics; Data Science; Power BI; Python; SQL,Data Governance; Excel; R,"You have several relevant technical skills, but there are gaps. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Data Analytics; Data Science; Power BI; Python; SQL. Skills to improve: Data Governance; Excel; R.",Werkstudent Controlling & Data Analytics (m/w/d),Gundlach Verpackung GmbH,Oerlinghausen,NORDRHEIN_WESTFALEN,PRAKTIKUM_TRAINEE,2026-08-27,STUNDENLOHN,Bundesagentur für Arbeit,
10001-1003694422-S,50.0,95.0,0,63.0,Possible Match,Data Science; Git,R,"You have several relevant technical skills, but there are gaps. The job title is directly aligned with Data Science. Matched skills: Data Science; Git. Skills to improve: R.","Werkstudent/-in Data Science  (w/m/d)  im Referat „Mikrozensus – Auswertung und Analyse"" (F36)",Statistisches Bundesamt,Bonn,NORDRHEIN_WESTFALEN,PRAKTIKUM_TRAINEE,2026-09-11,KEINE_ANGABEN,Bundesagentur für Arbeit,
12462-1598829-1-S,42.86,85.0,56,61.03,Possible Match,Power BI; Python; SQL,Artificial Intelligence; Cloud; Data Governance; Excel; R; Tableau,Your current technical skill overlap is limited. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Power BI; Python; SQL. Skills to improve: Artificial Intelligence; Cloud; Data Governance; Excel; R; Tableau.,"Werkstudent Data, Analytics & AI im Einkauf (w/m/x)",BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-07-14,KEINE_ANGABEN,Bundesagentur für Arbeit,
12462-1631161-1-S,42.86,85.0,46,60.03,Possible Match,Data Analytics; Data Science; Git; Python; SQL,AWS; Azure; Cloud; PySpark; Tableau,Your current technical skill overlap is limited. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Data Analytics; Data Science; Git; Python; SQL. Skills to improve: AWS; Azure; Cloud; PySpark; Tableau.,Werkstudent Technologieentwicklung Batteriezelle und Data Analytics (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-10,KEINE_ANGABEN,Bundesagentur für Arbeit,
12465-1630777-1-S,33.33,92.0,64,59.87,Low Match,Data Science; Python,Artificial Intelligence; Azure; Large Language Models,Your current technical skill overlap is limited. The job title is strongly related to AI or Machine Learning. The job has a strong Data/AI/ML technical focus. Matched skills: Data Science; Python. Skills to improve: Artificial Intelligence; Azure; Large Language Models.,Werkstudent (w/m/d) Artificial Intelligence Multiplikator & Digital Transformation im...,Siemens AG,Erlangen,BAYERN,PRAKTIKUM_TRAINEE,2026-09-09,KEINE_ANGABEN,Bundesagentur für Arbeit,
12462-1631638-1-S,75.0,50.0,22,59.7,Low Match,Pandas; Python; SQL,RAG,You have a strong portion of the required technical skills. The job title is not directly aligned with your target role. Matched skills: Pandas; Python; SQL. Skills to improve: RAG.,Werkstudent Toolentwicklung - KI unterstütze Fahrzeuganalyse (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-11,KEINE_ANGABEN,Bundesagentur für Arbeit,
12951-ce2252c9-3017-457b--S,25.0,95.0,58,56.3,Low Match,Data Science; Python,Data Engineering; R; Tableau,Your current technical skill overlap is limited. The job title is directly aligned with Data Science. The job contains some Data/AI/ML elements. Matched skills: Data Science; Python. Skills to improve: Data Engineering; R; Tableau.,Werkstudent Data Science / Data Engineering (all genders),MTU Aero Engines AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-08-19,KEINE_ANGABEN,Bundesagentur für Arbeit,
13151-1624209-1-S,66.67,50.0,28,56.13,Low Match,Data Analytics; Python; SQL,Artificial Intelligence; Generative AI,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Data Analytics; Python; SQL. Skills to improve: Artificial Intelligence; Generative AI.",Werkstudent*in Digitalisierung Data-driven Quality,Mercedes-Benz Group AG,Sindelfingen,BADEN_WUERTTEMBERG,PRAKTIKUM_TRAINEE,2026-08-27,KEINE_ANGABEN,Bundesagentur für Arbeit,
16752-r18191-S,62.5,50.0,46,55.85,Low Match,Data Science; Git; Machine Learning; Pandas; Python; SQL,Artificial Intelligence; Data Engineering; Docker; Spark,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. The job contains some Data/AI/ML elements. Matched skills: Data Science; Git; Machine Learning; Pandas; Python; SQL. Skills to improve: Artificial Intelligence; Data Engineering; Docker; Spark.",Werkstudent:in* im Bereich Data & AI,inovex GmbH,"Karlsruhe, Baden",BADEN_WUERTTEMBERG,PRAKTIKUM_TRAINEE,2026-07-27,KEINE_ANGABEN,Bundesagentur für Arbeit,
16947-954238931-S,66.67,50.0,24,55.73,Low Match,Machine Learning; Python,Artificial Intelligence; Feature Engineering,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Machine Learning; Python. Skills to improve: Artificial Intelligence; Feature Engineering.",Werkstudent für Drone C2 Projekte (d/m/w) (Open),Airbus Defence and Space GmbH,"Ulm, Donau",BADEN_WUERTTEMBERG,PRAKTIKUM_TRAINEE,2026-06-29,KEINE_ANGABEN,Bundesagentur für Arbeit,
12462-1632096-1-S,66.67,50.0,24,55.73,Low Match,Git; Python,Artificial Intelligence; Cloud; Large Language Models,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Git; Python. Skills to improve: Artificial Intelligence; Cloud; Large Language Models.",Werkstudent KI-basierte Bordnetzentwicklung (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-14,KEINE_ANGABEN,Bundesagentur für Arbeit,
18349-46840_16_JB5225308-S,66.67,50.0,18,55.13,Low Match,Power BI; SQL,Artificial Intelligence; Excel,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Power BI; SQL. Skills to improve: Artificial Intelligence; Excel.",Werkstudent Data & AI Solutions (w|m|d),ADAC Service GmbH,München,BAYERN,PRAKTIKUM_TRAINEE,2026-08-19,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1003553407-S,25.0,92.0,44,53.7,Low Match,Python,Artificial Intelligence; Generative AI; Large Language Models; RAG,Your current technical skill overlap is limited. The job title is strongly related to AI or Machine Learning. The job contains some Data/AI/ML elements. Matched skills: Python. Skills to improve: Artificial Intelligence; Generative AI; Large Language Models; RAG.,Praktikant/Werkstudent (m/w/d) AI Systems & Generative AI,ETG-Elektronik GmbH,Weiterstadt,HESSEN,PRAKTIKUM_TRAINEE,2026-08-17,STUNDENLOHN,Bundesagentur für Arbeit,
13151-1577245-2-S,57.14,50.0,48,53.37,Low Match,Data Science; Git; Machine Learning; Python; SQL,Artificial Intelligence; Azure; Large Language Models; RAG,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. The job contains some Data/AI/ML elements. Matched skills: Data Science; Git; Machine Learning; Python; SQL. Skills to improve: Artificial Intelligence; Azure; Large Language Models; RAG.",Werkstudent*in – Applied AI & Intelligent Systems,Mercedes-Benz Group AG,Sindelfingen,BADEN_WUERTTEMBERG,PRAKTIKUM_TRAINEE,2026-08-26,KEINE_ANGABEN,Bundesagentur für Arbeit,
16470-44442294-914-S,60.0,50.0,32,53.2,Low Match,Data Science; Machine Learning; Python; SQL,Artificial Intelligence; Cloud; R; Tableau,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Data Science; Machine Learning; Python; SQL. Skills to improve: Artificial Intelligence; Cloud; R; Tableau.",Werkstudent AI Factory (m/w/d),Telefónica Germany GmbH & Co. OHG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-15,KEINE_ANGABEN,Bundesagentur für Arbeit,
12462-1618901-1-S,40.0,75.0,12,51.2,Low Match,Data Analytics; Power BI; Python,Excel; R; Tableau,Your current technical skill overlap is limited. The job has some Data Engineering or Business Intelligence relevance. Matched skills: Data Analytics; Power BI; Python. Skills to improve: Excel; R; Tableau.,Werkstudent Produktportfolio-Strategie und Business Intelligence (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-08-14,KEINE_ANGABEN,Bundesagentur für Arbeit,
13151-1625447-1-S,60.0,50.0,12,51.2,Low Match,Data Science; Power BI; Python; SQL,Cloud; Excel; R,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Data Science; Power BI; Python; SQL. Skills to improve: Cloud; Excel; R.","Werkstudent*in Planung, Controlling und Business-Intelligence",Mercedes-Benz Group AG,Berlin,BERLIN,PRAKTIKUM_TRAINEE,2026-09-03,KEINE_ANGABEN,Bundesagentur für Arbeit,
15224-44417900-93-S,25.0,85.0,42,50.7,Low Match,Data Analytics; Data Science; SQL,R; Statistics; Tableau,Your current technical skill overlap is limited. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Data Analytics; Data Science; SQL. Skills to improve: R; Statistics; Tableau.,Werkstudent Data Analytics & Business Intelligence (m/w/d),ProSiebenSat.1 Media SE,München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-04,KEINE_ANGABEN,Bundesagentur für Arbeit,
13151-1630364-1-S,50.0,50.0,28,47.8,Low Match,Data Science; Machine Learning; Python; SQL,Artificial Intelligence; Azure; Cloud; Docker; NLP,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Data Science; Machine Learning; Python; SQL. Skills to improve: Artificial Intelligence; Azure; Cloud; Docker; NLP.",Werkstudent*in Charging & HV-System,Mercedes-Benz Group AG,Sindelfingen,BADEN_WUERTTEMBERG,PRAKTIKUM_TRAINEE,2026-09-07,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1003707901-S,50.0,50.0,24,47.4,Low Match,Python,Artificial Intelligence; RAG,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Python. Skills to improve: Artificial Intelligence; RAG.",Bachelorarbeit/Masterarbeit/Werkstudent (m/w/d) – Virtuelles KI-Vertriebsteam für den technischen B2,W.Meier GmbH Großküchentechnik,Karlsfeld bei München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-15,KEINE_ANGABEN,Bundesagentur für Arbeit,
13151-1628381-1-S,50.0,50.0,24,47.4,Low Match,Python,Artificial Intelligence; Cloud; RAG,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Python. Skills to improve: Artificial Intelligence; Cloud; RAG.",Werkstudent*in Data Management - AI & Automation,Mercedes-Benz Group AG,Sindelfingen,BADEN_WUERTTEMBERG,PRAKTIKUM_TRAINEE,2026-09-03,KEINE_ANGABEN,Bundesagentur für Arbeit,
12465-1630782-1-S,50.0,50.0,18,46.8,Low Match,Data Science; Power BI,Artificial Intelligence; Tableau,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Data Science; Power BI. Skills to improve: Artificial Intelligence; Tableau.",Werkstudent (w/m/d) Produktmanagement Medium Voltage Products,Siemens AG,Berlin,BERLIN,PRAKTIKUM_TRAINEE,2026-09-09,KEINE_ANGABEN,Bundesagentur für Arbeit,
16947-967924583-S,50.0,50.0,14,46.4,Low Match,Data Science; Python,Artificial Intelligence; R,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Data Science; Python. Skills to improve: Artificial Intelligence; R.",Werkstudent (d/m/w) im Bereich Quality Engineering Cabin & Cargo,Airbus Operations GmbH Werk Bremen,Hamburg,HAMBURG,PRAKTIKUM_TRAINEE,2026-09-02,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1002102839-S,50.0,50.0,8,45.8,Low Match,Python; SQL,Excel; R,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Python; SQL. Skills to improve: Excel; R.",Werkstudent/in (m/w/d) im Bereich IT / Datenverarbeitung / SAP,bvise GmbH,Oldenburg (Oldb),NIEDERSACHSEN,PRAKTIKUM_TRAINEE,2025-11-05,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1002634660-S,50.0,50.0,4,45.4,Low Match,Power BI,Excel,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Power BI. Skills to improve: Excel.",Werkstudent*in Marketing Datenanalyse & Reporting,A+W Software GmbH,Fernwald,HESSEN,PRAKTIKUM_TRAINEE,2026-02-19,KEINE_ANGABEN,Bundesagentur für Arbeit,
12942-1629950-1-S,50.0,50.0,4,45.4,Low Match,Power BI,Excel,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Power BI. Skills to improve: Excel.",Werkstudent (m/w/d) IT Data & Business Analyse,Dirk Rossmann GmbH,Burgwedel,NIEDERSACHSEN,PRAKTIKUM_TRAINEE,2026-09-08,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1002793394-S,50.0,50.0,4,45.4,Low Match,Power BI,Azure,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: Power BI. Skills to improve: Azure.",Werkstudent (m/w/d) KI Engineer,CITTI Handelsgesellschaft mbH & Co. KG,Kiel,SCHLESWIG_HOLSTEIN,PRAKTIKUM_TRAINEE,2026-03-19,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1003150819-S,50.0,50.0,4,45.4,Low Match,SQL,Excel,"You have several relevant technical skills, but there are gaps. The job title is not directly aligned with your target role. Matched skills: SQL. Skills to improve: Excel.",Werkstudent SQL & Datenanalyse im Qualitätsmanagement (m/w/d),MyContact GmbH& Co.KG,Magdeburg,SACHSEN_ANHALT,PRAKTIKUM_TRAINEE,2026-05-29,STUNDENLOHN,Bundesagentur für Arbeit,
12462-1608907-1-S,33.33,50.0,14,38.06,Low Match,Python,Java; Large Language Models,Your current technical skill overlap is limited. The job title is not directly aligned with your target role. Matched skills: Python. Skills to improve: Java; Large Language Models.,"Werkstudent Entwicklung Antrieb Digitalisierung, KI und Toolentwicklung (w/m/x)",BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-08-10,KEINE_ANGABEN,Bundesagentur für Arbeit,
